본문 구절,위치,추출,출처 유형,확인 URL·파일,조치,비고
"단위는 (시군구, 정규화 도로명)이고 시도별 14.6 %(부산)~31.6",서식2 문단 18,14.6 %,저장소 산출,data/vworld/national/derived/ngii_width_probe.json,유지,
"규화 도로명)이고 시도별 14.6 %(부산)~31.6 %(울산), 조회 실",서식2 문단 18,31.6 %,저장소 산출,deliverables/전국대조군_길번길포함률.csv,유지,울산 포함률 0.3161
※ 도표 1 전국 16개 시도 골목 도로명,서식2 문단 20,16개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"로망 도로명 직접 연계 불가율 — 전국 합산 78.2 %(152,944개",서식2 문단 20,78.2 %,저장소 산출,deliverables/전국대조군_길번길포함률.csv,유지,"16개 시도 합산 이름 152,944 · 포함 33,336 재계산 일치 · 078 P1-8 소제목 표현 변경"
"직접 연계 불가율 — 전국 합산 78.2 %(152,944개 이름 중 포함 3",서식2 문단 20,"152,944개",저장소 산출,data/vworld/national/derived/national_inclusion.json,유지,
"78.2 %(152,944개 이름 중 포함 33,336개). 출처 표준노드",서식2 문단 20,"33,336개",저장소 산출,data/vworld/national/derived/national_inclusion.json,유지,
골목은 더 그렇다 — 처리군(지정 길·번길 42개) 밖 97.6 %,서식2 문단 21,42개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-C_도로경계내접폭_5자대조.csv,유지,
그렇다 — 처리군(지정 길·번길 42개) 밖 97.6 %(41/42) vs,서식2 문단 21,97.6 %,저장소 산출,deliverables/이름포함률_대전.csv,유지,41/42 = 0.9762
"개) 밖 97.6 %(41/42) vs 같은 5개 구 비지정 2,9",서식2 문단 21,5개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"%(41/42) vs 같은 5개 구 비지정 2,922개 79.1 %. 차",서식2 문단 21,"2,922개",저장소 산출,docs/판정기준.md | data/vworld/national/derived/ai_a_classifier.json | data/vworld/national/derived/inclusion_rate.json,유지,
"2) vs 같은 5개 구 비지정 2,922개 79.1 %. 차이 +18.5",서식2 문단 21,79.1 %,저장소 산출,docs/판정기준.md | data/vworld/national/derived/national_inclusion.json,유지,
"구 비지정 2,922개 79.1 %. 차이 +18.5 %p · Fisher",서식2 문단 21,18.5 %p,저장소 산출,deliverables/이름포함률_대전.csv,유지,97.6 − 79.1 · Fisher 단측 p = 0.00069 재계산(scipy)
+18.5 %p · Fisher 단측 p = 0.0007 · 5개 구 모두 같은 방,서식2 문단 21,0.0007 · 5개,저장소 산출,data/vworld/national/derived/hierarchy_compare_v2.json,유지,
경찰청 대전지역 주정차 허용현황 55구간과 26개소 도로명 36개의,서식2 문단 22,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
는 0건이다. 대전 불법주정차 단속 CCTV 243대 중 골목급은 43,서식2 문단 22,243대,저장소 산출,deliverables/연계테이블_도로명주소도로_표준노드링크_대전33개소.csv | data/vworld/national/derived/daejeon_cctv_match.json | data/vworld/national/derived/ngii_width_probe.json,유지,
"법주정차 단속 CCTV 243대 중 골목급은 43대, 26개소 도로명",서식2 문단 22,43대,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"단속 CCTV 243대 중 골목급은 43대, 26개소 도로명 30 m",서식2 문단 22,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"43대 중 골목급은 43대, 26개소 도로명 30 m 안은 2대다. 시",서식2 문단 22,30 m,저장소 산출,deliverables/AI-B_SAM검증_4자대조.csv | deliverables/AI-C_도로경계내접폭_5자대조.csv | deliverables/ITS영상CCTV_26개소.csv,유지,
으로 삼기 어렵다(포함 여부는 이름 대조이며 26개소 선형 자체는 조회,서식2 문단 23,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"11,125건",서식2 문단 29,"11,125건",저장소 산출,data/vworld/national/raw/daejeon_sprd_geom.jsonl,유지,"행 수 재계산 일치(원자료, 비추적)"
"7,948건 (71.4 %)",서식2 문단 31,"7,948건",저장소 산출,data/vworld/national/raw/daejeon_sprd_geom.jsonl,유지,"도로명 끝 「길·번길」 행 재계산 일치(원자료, 비추적)"
"7,948건 (71.4 %)",서식2 문단 31,71.4 %,저장소 산출,data/vworld/national/raw/daejeon_sprd_geom.jsonl,유지,"7,948/11,125 재계산"
"7,948건 (100 %)",서식2 문단 33,"7,948건",저장소 산출,data/vworld/national/raw/daejeon_sprd_geom.jsonl,유지,"road_bt 값 있음 7,948 재계산"
"7,948건 (100 %)",서식2 문단 33,100 %,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/대중교통유입규모_26개소.csv | deliverables/방범CCTV_26개소.csv,유지,
26개소 조각 도로명 36,서식2 문단 34,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
26개소 조각 도로명 36개 중 도로구간에 있,서식2 문단 34,36개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/경사_26개소.csv,유지,
36개 (100 %),서식2 문단 35,36개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/경사_26개소.csv,유지,
36개 (100 %),서식2 문단 35,100 %,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/대중교통유입규모_26개소.csv | deliverables/방범CCTV_26개소.csv,유지,
과 믿을 수 있다는 것은 다르다 — 판독과 ±1 m 안에 들어도(대조,서식2 문단 36,1 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
— 판독과 ±1 m 안에 들어도(대조 가능 10조각 모두) 정의·단위,서식2 문단 36,10조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
ㅇ 공간정보 도달률 매트릭스[문헌C] — 결측률로는 보,서식2 문단 37,[문헌C],2차 인용,출처 일람 C=2차 인용,유지,
◦ 각 칸 = 대전 26개소 / 전국 · ○,서식2 문단 40,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
○ / ○(결측 0 %),서식2 문단 47,0 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"측 가능성 — 전국 CCTV 표준데이터(대전 8,457개소)를 받아 37조각",서식2 문단 68,"8,457개소",저장소 산출,deliverables/도달률매트릭스_진입곤란26개소.md,유지,
"TV 표준데이터(대전 8,457개소)를 받아 37조각 중 27조각 반경",서식2 문단 68,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"터(대전 8,457개소)를 받아 37조각 중 27조각 반경 100 m",서식2 문단 68,27조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-B_SAM검증_4자대조.csv | deliverables/ITS영상CCTV_26개소.csv,유지,
57개소)를 받아 37조각 중 27조각 반경 100 m 안 확인(L1 △,서식2 문단 68,100 m,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/대중교통유입규모_26개소.csv | deliverables/방범CCTV_26개소.csv,유지,
0 %,서식2 문단 76,0 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"3.0 단일값 30.2 %(264,398구간",서식2 문단 77,30.2 %,저장소 산출,deliverables/3단표.md | deliverables/도달률매트릭스_진입곤란26개소.md | deliverables/이름은있는데쓸수없는속성.md,유지,
"3.0 단일값 30.2 %(264,398구간)",서식2 문단 77,"264,398구간",저장소 산출,deliverables/도달률매트릭스_진입곤란26개소.md | data/vworld/national/derived/road_bt_national.json,유지,
0 %,서식2 문단 80,0 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
0 %(26개소 314건,서식2 문단 88,0 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
0 %(26개소 314건·대전 표,서식2 문단 88,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"0 %(26개소 314건·대전 표본 2,7",서식2 문단 88,314건,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | data/vworld/national/derived/nodelink_prefix_sido.json | data/vworld/national/derived/nodelink_prefix_sigg.json,유지,
"0 %(26개소 314건·대전 표본 2,763건 전부)",서식2 문단 88,"2,763건",저장소 산출,data/vworld/national/derived/ngii_width_probe.json,유지,"fill.by_rddv_scls n 합 2,763 · sites center_within_30m 합 314"
소로 107건이 전부 1.5 m 로 같게 관측,서식2 문단 89,1.5 m,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | docs/판정기준.md | data/vworld/national/derived/ngii_bound_cover.json,유지,
0 %,서식2 문단 92,0 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"-」로 채워져 있다 — 전국 69,247링크(4.43 %)",서식2 문단 93,4.43 %,저장소 산출,deliverables/3단표.md | docs/vworld/데이터수급_실사.md | data/vworld/national/derived/nodelink_scope_stats.json,유지,
sed missing data(위장된 결측)다[문헌N] — 결측률로는 0,서식2 문단 95,[문헌N],1차 원문,출처 일람 N=1차 원문,유지,
Zambanini 외 2020[문헌W] 도로선 버퍼로 주,서식2 문단 101,[문헌W],2차 인용,출처 일람 W=2차 인용,유지,
윤찬·박남권 2025[문헌A] 건축·법제도 →,서식2 문단 103,[문헌A],1차 원문,출처 일람 A=1차 원문,유지,
금성현·정임영 2023[문헌B] → 전국 골목에,서식2 문단 105,[문헌B],2차 인용,출처 일람 B=2차 인용,유지,
윤여름 외 2024[문헌X] 진입곤란 제약요인,서식2 문단 107,[문헌X],2차 인용,출처 일람 X=2차 인용,유지,
Liu 외 2025[문헌Q] 거리뷰 영상 딥러,서식2 문단 109,[문헌Q],2차 인용,출처 일람 Q=2차 인용,유지,
Fang 외 2013[문헌R] 대피 시 교차로,서식2 문단 111,[문헌R],2차 인용,출처 일람 R=2차 인용,유지,
배정 · Dresner & Stone 2008[문헌S] (링크 × 시간),서식2 문단 111,[문헌S],2차 인용,출처 일람 S=2차 인용,유지,
Stopic 외 2023[문헌T] 반사값 임계로 주,서식2 문단 113,[문헌T],2차 인용,출처 일람 T=2차 인용,유지,
주차면 점유 판정 → 본 제안은 SAM 제로샷[문헌H·I] + 도로구간 버퍼,서식2 문단 113,[문헌H·I],1차 원문,출처 일람 H=1차 원문·I=1차 원문,유지,
Singh & Kumar 2024[문헌U] 고해상도 위성 +,서식2 문단 115,[문헌U],2차 인용,출처 일람 U=2차 인용,유지,
Lee 외[문헌V] 단안 3D 로 장,서식2 문단 117,[문헌V],2차 인용,출처 일람 V=2차 인용,유지,
장애물을 빼 유효폭을 내는 것도 선행이 있다[문헌U·V]. 본 제안이 새로,서식2 문단 119,[문헌U·V],2차 인용,출처 일람 U=2차 인용·V=2차 인용,유지,
화 ② 도로구간 버퍼로 거른 차량의 점유폭이 37조각 중 7조각의 판정,서식2 문단 119,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
각의 판정을 낮춘 구조(버퍼 필터 자체는 선행[문헌W]) ③ 차종별 전폭,서식2 문단 119,[문헌W],2차 인용,출처 일람 W=2차 인용,유지,
선행[문헌W]) ③ 차종별 전폭(1.9 / 2.2 / 2.5 m)의 fail-cl,서식2 문단 119,2.2 / 2.5 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
- 활용 22종 중 20종 공개·,서식2 문단 149,22종,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/경사_26개소.csv,유지,
"- 활용 22종 중 20종 공개·무상 확보,",서식2 문단 149,20종,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"- 활용 22종 중 20종 공개·무상 확보, 2종 승인 대기(무상)",서식2 문단 149,2종,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
◦ 사례·아이디어 구현 방법 — 26개소 37조각에 폭을,서식2 문단 271,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
·영상 분할 하나)을 모두 돌리고 사람 판독 11조각(검증셋)과 판독,서식2 문단 271,11조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI보완_커버리지표.csv,유지,
사람 판독 11조각(검증셋)과 판독 범위 ±1 m 규칙으로 대조했다,서식2 문단 271,1 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
로 대조했다(판독은 측정이 아니다 · 등급 C[문헌M]),서식2 문단 271,[문헌M],1차 원문,출처 일람 M=1차 원문,유지,
AI 로 노면을 재려 한 여섯 번째 방법은 8조각 중 7조각이 어긋,서식2 문단 302,8조각,저장소 산출,deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv | deliverables/AI보완_커버리지표.csv,유지,
버스정류장 · 도시철도 역사 위치(반경 100 m),서식2 문단 316,100 m,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/대중교통유입규모_26개소.csv | deliverables/방범CCTV_26개소.csv,유지,
"위치 산출 — 37조각 중 15, 정류장",서식2 문단 317,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
단계(37조각 합계),서식2 문단 330,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
9조각 중 대수 일치 5,서식2 문단 346,9조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/ITS영상CCTV_26개소.csv,유지,
정확도에 해당하는 값은 사람 판독 예비 대조 9조각 중 대수 일치 5,서식2 문단 349,9조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/ITS영상CCTV_26개소.csv,유지,
5(차량 없음 일치 3 포함 · 차량 있는 5조각 중 일치 2 ·,서식2 문단 349,5조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"미탐 2)이며, 변정7길 잔여 노면은 판독 3.5~4 m · 추정 3.92",서식2 문단 349,3.5~4 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/대전_단속CCTV_골목급대조.csv | deliverables/보행약자축_26개소.csv,유지,
길 잔여 노면은 판독 3.5~4 m · 추정 3.92 m 로 부합한다. 최,서식2 문단 349,3.92 m,저장소 산출,deliverables/차량탐지_사람대조_11조각.csv | docs/판정기준.md | data/vworld/national/derived/sam_vehicle_width.json,유지,
· 등급 C) — 주차 차량 차감이 없으면 37조각 중 7조각의 판정,서식2 문단 350,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
LOCKED 1). 예: 목척5길 4.0 → 1.59 m(대조창 사람 1대,서식2 문단 350,1.59 m,저장소 산출,data/vworld/national/derived/sam_vehicle_width.json,유지,
목척5길 4.0 → 1.59 m(대조창 사람 1대 · AI 1대).,서식2 문단 350,1대,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
→ 1.59 m(대조창 사람 1대 · AI 1대). 37조각 중,서식2 문단 350,1대,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
59 m(대조창 사람 1대 · AI 1대). 37조각 중 21조각은 A,서식2 문단 350,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
좌표·가시권만 검토). 방범 CCTV 반경 100 m 안에 드는 조각은,서식2 문단 351,100 m,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/대중교통유입규모_26개소.csv | deliverables/방범CCTV_26개소.csv,유지,
CCTV 반경 100 m 안에 드는 조각은 37조각 중 27개(사후,서식2 문단 351,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
경 100 m 안에 드는 조각은 37조각 중 27개(사후 추가 대조),서식2 문단 351,27개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-B_SAM검증_4자대조.csv | deliverables/ITS영상CCTV_26개소.csv,유지,
"ITS 영상 CCTV 는 가장 가까운 것이 540 m(중앙 2,893",서식2 문단 351,540 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"CTV 는 가장 가까운 것이 540 m(중앙 2,893 m) · 500 m",서식2 문단 351,"2,893 m",저장소 산출,deliverables/ITS영상CCTV_26개소.csv,유지,
"운 것이 540 m(중앙 2,893 m) · 500 m 이내 0개라 CC",서식2 문단 351,500 m,저장소 산출,deliverables/방범CCTV_26개소.csv | docs/판정기준.md | docs/vworld/데이터수급_실사.md,유지,
령·국가규격에서 그대로 가져왔다. 통과 임계 3.5 m 와 영상 차량 규,서식2 문단 355,3.5 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/대전_단속CCTV_골목급대조.csv | deliverables/보행약자축_26개소.csv,유지,
- 긴급차량 전폭 2.5 m — 소방장비 기본,서식2 문단 356,2.5 m,저장소 산출,deliverables/슬롯시간_26개소.csv | deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv,유지,
급차량 전폭 2.5 m — 소방장비 기본규격 KFS 0008~0012 「3.3,서식2 문단 356,KFS 0008,1차 원문,출처 일람 「기준 문서」 행,유지,
- 보행자 유효폭 1.2 m — 장애인등편의법,서식2 문단 357,1.2 m,저장소 산출,deliverables/슬롯시간_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
효폭 1.2 m — 장애인등편의법 시행규칙 [별표 1] 1.가.(1),서식2 문단 357,별표 1,1차 원문,출처 일람 「기준 문서」 행,유지,
- 일반차량 전폭 2.0 m — 도로의 구조·,서식2 문단 358,2.0 m,저장소 산출,deliverables/슬롯시간_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
m — 도로의 구조·시설 기준에 관한 규칙 제5조(설계기준자동차 소,서식2 문단 358,제5조,1차 원문,출처 일람 「기준 문서」 행,유지,
2.5 m 미만,서식2 문단 363,2.5 m,저장소 산출,deliverables/슬롯시간_26개소.csv | deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv,유지,
11 (29.7 %),서식2 문단 364,29.7 %,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,최종채택 2.5 m 미만 11 · 3.7~5.5 m 11 재계산
중·대형이 설 수 없다(1.9 m 미만은 전 차종,서식2 문단 365,1.9 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
2.5 ~ 3.7 m,서식2 문단 366,2.5 ~ 3.7 m,저장소 산출,docs/판정기준.md | data/vworld/national/derived/turn_census.json,유지,
12 (32.4 %),서식2 문단 367,32.4 %,저장소 산출,data/vworld/national/derived/slope_26.json,유지,
3.7 ~ 5.7 m,서식2 문단 369,3.7 ~ 5.7 m,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,4단 표 구간 경계 5.7 = E 2.5 + P 1.2 + G 2.0(CSV 임계근거) · 073 §2
11 (29.7 %),서식2 문단 370,29.7 %,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,최종채택 2.5 m 미만 11 · 3.7~5.5 m 11 재계산
보행자는 지나가되 일반차량 독립 슬롯(2.0 m)은 서지 않는다,서식2 문단 371,2.0 m,저장소 산출,deliverables/슬롯시간_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
5.7 m 이상,서식2 문단 372,5.7 m,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,최종채택 5.7 m 이상 3 재계산 · 073 §2
3 (8.1 %),서식2 문단 373,8.1 %,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,5.5 m 이상 3 재계산
◦ road_bt 6.00 m 만 보면 공간 분,서식2 문단 375,6.00 m,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,변정7길 road_bt 6
"해 보인다. 점유 변수를 차감하면 변정7길은 2.99 m 로, 폭 축은 C",서식2 문단 375,2.99 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/보행약자축_26개소.csv | deliverables/차종투입판정_26개소.csv,유지,
」를 묻는다. 충무로68번길도 road_bt 6 m 에서 3.52 m,서식2 문단 375,6 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
충무로68번길도 road_bt 6 m 에서 3.52 m 로 내려가 시간,서식2 문단 375,3.52 m,저장소 산출,data/vworld/national/derived/sam_vehicle_width.json,유지,
◦ 폭 판정 임계 3.5 m(양옆 여유 포함),서식2 문단 376,3.5 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/대전_단속CCTV_골목급대조.csv | deliverables/보행약자축_26개소.csv,유지,
"혼자 지나갈 수 있는가를, 분리 모드 임계 3.7 m(여유 0)는 보행",서식2 문단 376,3.7 m,저장소 산출,docs/판정기준.md | data/vworld/national/derived/ortho_crosscheck_panels.json | data/vworld/national/derived/sam_vehicle_width.json,유지,
면 공간 분리 14→6조각이다. 두 값 사이 2조각(문정로170번길,서식2 문단 376,2조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
◦ 일반차량 독립 슬롯이 서지 않는 조각(5.7 m 미만)이 최종채택,서식2 문단 377,5.7 m,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,최종채택 5.7 m 미만 34 재계산 · 073 §2(5.5~5.7 사이 최종채택 값 없음)
않는 조각(5.7 m 미만)이 최종채택 기준 34개(91.9 %)다(,서식2 문단 377,34개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/경사_26개소.csv,유지,
각(5.7 m 미만)이 최종채택 기준 34개(91.9 %)다(내접폭만 보면,서식2 문단 377,91.9 %,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,문장 수정 완료,"34 = 최종채택 5.7 m 미만(073 §2 경계 5.5→5.7, 값 불변) · 3.0 m 미만은 14"
기준 34개(91.9 %)다(내접폭만 보면 23개). 그런데 이 골,서식2 문단 377,23개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/경사_26개소.csv,유지,
